# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = tmphate1ayn_model
# start_datetime = 2022-03-05 18:14:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/4p/0qz7dp9d0z77llrj1f8zbg1w0000gn/T/tmpc6s5sv7i/zicss1ai.json
# init = 2 (Default)
# random
#   seed = 12460
# output
#   file = /Users/patryktomaszewski/studies/bachelor1/data analitycs/Data-Analytics-labs/Lab 1 - Python review/results/bern_1-20220305191452_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.15396
# Diagonal elements of inverse mass matrix:
# 0.194815
-12.6447,0.872903,1.15396,2,3,0,13.2108,0.688757
-12.5945,1,1.15396,1,1,0,12.6468,0.677686
-12.7048,0.990391,1.15396,2,3,0,12.7131,0.6995
-12.6205,1,1.15396,1,1,0,12.6995,0.683745
-12.5164,0.992408,1.15396,1,3,0,12.6501,0.614095
-12.5614,0.994703,1.15396,2,3,0,12.5615,0.593637
-12.7199,0.637049,1.15396,2,3,0,14.766,0.701904
-12.5048,0.994249,1.15396,2,3,0,12.7512,0.635612
-12.6123,0.976298,1.15396,2,3,0,12.659,0.57925
-12.8324,0.900829,1.15396,2,3,0,13.2156,0.717512
-12.5917,0.965852,1.15396,2,3,0,13.1218,0.677002
-12.8353,0.92076,1.15396,1,3,0,13.0785,0.539234
-12.5244,0.989308,1.15396,1,3,0,12.8702,0.653693
-12.5733,0.98659,1.15396,1,1,0,12.5739,0.672037
-12.5733,0.375989,1.15396,2,3,0,17.6585,0.672037
-12.5048,0.918172,1.15396,2,3,0,13.0749,0.635843
-12.5239,0.706221,1.15396,2,3,0,14.3812,0.653413
-12.7073,0.972489,1.15396,2,3,0,12.7385,0.559532
-12.6728,1,1.15396,2,3,0,12.7409,0.566018
-13.3821,0.771744,1.15396,1,3,0,14.0587,0.76713
-13.3821,0.702767,1.15396,1,3,0,15.6483,0.76713
-13.3407,1,1.15396,1,1,0,13.5677,0.764217
-12.8896,1,1.15396,1,1,0,13.2603,0.72429
-12.9226,0.997316,1.15396,2,3,0,13.0151,0.727942
-12.9588,0.916379,1.15396,2,3,0,13.7871,0.523119
-13.184,0.933008,1.15396,1,1,0,13.2856,0.498584
-13.4139,0.93167,1.15396,1,1,0,13.5821,0.477523
-12.8705,1,1.15396,1,1,0,13.2913,0.534376
-12.8271,1,1.15396,1,1,0,12.9466,0.540401
-13.0625,0.930278,1.15396,1,1,0,13.1246,0.511205
-13.3006,0.929303,1.15396,1,1,0,13.4311,0.487519
-12.6302,1,1.15396,1,1,0,13.0961,0.575024
-12.6592,0.991273,1.15396,1,1,0,12.6914,0.568751
-12.5042,1,1.15396,1,3,0,12.639,0.632818
-12.8013,0.939927,1.15396,2,3,0,12.9101,0.713535
-13.3771,0.818022,1.15396,1,3,0,14.1133,0.480693
-13.3771,0.613977,1.15396,1,1,0,14.5827,0.480693
-13.164,1,1.15396,2,3,0,13.4761,0.500586
-14.1189,0.74632,1.15396,1,1,0,14.2013,0.426424
-14.9614,0.778826,1.15396,1,1,0,15.3121,0.379794
-12.9113,1,1.15396,2,3,0,14.6581,0.726712
-12.6068,0.932773,1.15396,2,3,0,13.4185,0.580598
-13.3083,0.904276,1.15396,2,3,0,13.3446,0.761872
-12.6491,1,1.15396,2,3,0,13.1401,0.570873
-12.7194,0.978929,1.15396,1,1,0,12.751,0.557382
-13.4702,0.794363,1.15396,1,1,0,13.4754,0.4728
-12.6307,1,1.15396,1,3,0,13.2147,0.574912
-12.5244,0.991433,1.15396,1,3,0,12.6744,0.653701
-12.5186,0.922752,1.15396,2,3,0,12.9796,0.650302
-12.5043,0.975961,1.15396,2,3,0,12.6533,0.633921
-12.5148,0.997455,1.15396,1,3,0,12.5156,0.647656
-12.7423,0.937072,1.15396,1,3,0,12.8206,0.553469
-13.1347,0.841515,1.15396,2,3,0,13.7986,0.748186
-12.7015,0.918827,1.15396,2,3,0,13.7546,0.560588
-13.3165,0.828315,1.15396,1,1,0,13.3233,0.486071
-12.9729,0.700603,1.15396,2,3,0,15.3435,0.521427
-13.161,0.981238,1.15396,2,3,0,13.2719,0.500878
-12.6912,1,1.15396,2,3,0,13.0442,0.697232
-12.9434,0.907276,1.15396,1,3,0,13.3717,0.524996
-12.6263,1,1.15396,1,1,0,12.8532,0.57591
-12.5665,1,1.15396,1,1,0,12.6182,0.591964
-12.5091,1,1.15396,2,3,0,12.5606,0.642647
-12.5091,0.577924,1.15396,1,3,0,14.2635,0.642647
-12.7202,0.9504,1.15396,1,3,0,12.7381,0.701958
-12.532,0.937685,1.15396,2,3,0,13.19,0.60519
-12.5042,0.998284,1.15396,2,3,0,12.5417,0.629984
-13.7698,0.714057,1.15396,1,3,0,13.9271,0.449794
-13.1802,0.821909,1.15396,1,3,0,15.1617,0.751973
-13.3294,0.966783,1.15396,1,1,0,13.4623,0.763402
-13.3294,0.553559,1.15396,1,3,0,16.6411,0.763402
-12.7298,1,1.15396,2,3,0,13.1649,0.555577
-12.6548,0.961587,1.15396,2,3,0,13.0398,0.690718
-12.5484,0.983363,1.15396,1,3,0,12.7497,0.598255
-13.4334,0.758299,1.15396,1,3,0,13.8609,0.770624
-13.4258,0.858367,1.15396,1,3,0,15.0702,0.476518
-13.4258,0.563932,1.15396,1,3,0,15.8843,0.476518
-13.3383,1,1.15396,2,3,0,13.6373,0.484114
-13.5151,0.947093,1.15396,1,1,0,13.7383,0.469132
-13.5151,0.535484,1.15396,1,1,0,15.0548,0.469132
-13.4863,1,1.15396,1,1,0,13.8008,0.471479
-13.4863,0.581309,1.15396,1,3,0,16.7735,0.471479
-13.4863,0.55907,1.15396,1,1,0,14.9233,0.471479
-12.5503,0.982414,1.15396,1,3,0,13.5413,0.664772
-12.6829,0.951114,1.15396,2,3,0,12.8969,0.69582
-14.4834,0.58997,1.15396,1,3,0,15.3078,0.404852
-13.3977,1,1.15396,1,1,0,14.2814,0.47891
-14.0882,0.809841,1.15396,1,1,0,14.2579,0.428358
-12.8413,1,1.15396,1,1,0,13.7119,0.538387
-12.8413,0.882682,1.15396,1,1,0,13.1711,0.538387
-12.5805,1,1.15396,1,1,0,12.7642,0.58769
-12.5805,0.488889,1.15396,1,3,0,14.6482,0.58769
-12.864,0.901887,1.15396,1,3,0,13.1357,0.72133
-12.5125,0.987353,1.15396,1,3,0,12.8823,0.617165
-12.729,0.938281,1.15396,1,3,0,12.8131,0.703321
-12.5503,1,1.15396,2,3,0,12.684,0.597544
-12.7644,0.972511,1.15396,2,3,0,12.7741,0.708522
-12.5845,0.968493,1.15396,2,3,0,13.0289,0.675129
-12.5127,0.99194,1.15396,2,3,0,12.639,0.646023
