# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = tmphate1ayn_model
# start_datetime = 2022-03-05 18:14:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/4p/0qz7dp9d0z77llrj1f8zbg1w0000gn/T/tmpc6s5sv7i/zicss1ai.json
# init = 2 (Default)
# random
#   seed = 12460
# output
#   file = /Users/patryktomaszewski/studies/bachelor1/data analitycs/Data-Analytics-labs/Lab 1 - Python review/results/bern_1-20220305191452_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.19463
# Diagonal elements of inverse mass matrix:
# 0.210397
-12.6303,0.79389,1.19463,1,3,0,13.487,0.574999
-12.5452,1,1.19463,2,3,0,12.6128,0.662888
-13.1512,0.863934,1.19463,1,3,0,13.1628,0.749576
-14.7598,0.676988,1.19463,1,1,0,14.7654,0.834402
-19.96,0.615509,1.19463,1,3,0,20.0178,0.935209
-13.0325,1,1.19463,2,3,0,17.9185,0.51453
-15.0054,0.498855,1.19463,1,1,0,15.0517,0.377641
-13.2441,1,1.19463,2,3,0,14.8279,0.757043
-13.2441,0.622781,1.19463,1,1,0,14.7949,0.757043
-12.5042,0.985933,1.19463,1,3,0,13.1037,0.629849
-12.5124,0.99728,1.19463,2,3,0,12.518,0.645784
-13.1605,0.833417,1.19463,1,3,0,13.2442,0.500931
-12.6179,1,1.19463,2,3,0,12.9757,0.577877
-12.6179,0.65749,1.19463,1,3,0,14.0744,0.577877
-12.5061,1,1.19463,1,3,0,12.583,0.624606
-12.5687,0.458487,1.19463,2,3,0,16.4036,0.670708
-13.0883,0.81855,1.19463,2,3,0,13.7068,0.744153
-12.6731,1,1.19463,2,3,0,12.9814,0.565966
-13.9791,0.628848,1.19463,2,3,0,14.9726,0.801749
-12.6096,1,1.19463,1,3,0,13.621,0.681314
-12.6822,0.8373,1.19463,2,3,0,13.5531,0.695693
-13.4029,0.813796,1.19463,1,1,0,13.4034,0.768564
-13.4029,0.828402,1.19463,1,1,0,14.1106,0.768564
-13.4029,0.642551,1.19463,1,1,0,14.9245,0.768564
-13.5239,0.970141,1.19463,1,1,0,13.7496,0.776496
-15.2299,0.880361,1.19463,2,3,0,15.3771,0.366993
-12.5054,1,1.19463,1,3,0,14.4332,0.625876
-12.7727,0.923437,1.19463,2,3,0,12.9239,0.709684
-12.859,0.975237,1.19463,1,1,0,12.9256,0.720738
-12.6196,0.821064,1.19463,2,3,0,14.0836,0.683557
-14.2642,0.678443,1.19463,2,3,0,15.3252,0.814895
-12.8722,1,1.19463,1,3,0,13.8984,0.722294
-12.5758,1,1.19463,2,3,0,12.7829,0.672749
-12.8612,0.952579,1.19463,2,3,0,12.9429,0.535637
-12.8612,0.935103,1.19463,1,1,0,13.0844,0.535637
-12.5849,0.954911,1.19463,2,3,0,13.1087,0.675238
-13.2543,0.848124,1.19463,2,3,0,13.5998,0.491803
-12.782,0.924796,1.19463,2,3,0,13.7544,0.710954
-12.657,1,1.19463,1,1,0,12.7735,0.691134
-12.541,1,1.19463,1,1,0,12.6224,0.661274
-12.541,0.938588,1.19463,1,3,0,12.7284,0.661274
-12.5901,0.984568,1.19463,1,1,0,12.596,0.676598
-12.5103,0.999421,1.19463,2,3,0,12.5932,0.619206
-12.9527,0.889784,1.19463,2,3,0,13.1498,0.73113
-12.7549,1,1.19463,2,3,0,12.941,0.707157
-12.6252,1,1.19463,2,3,0,12.7145,0.576169
-15.7453,0.551435,1.19463,2,3,0,16.1551,0.864672
-14.457,1,1.19463,1,1,0,15.7005,0.822926
-13.6758,1,1.19463,1,1,0,14.4388,0.785644
-13.6758,0.662984,1.19463,1,1,0,15.2171,0.785644
-12.9633,1,1.19463,1,1,0,13.5235,0.732227
-14.3133,0.707234,1.19463,1,1,0,14.3158,0.817003
-12.8438,1,1.19463,1,3,0,13.9262,0.718911
-12.8438,0.736858,1.19463,1,3,0,13.9863,0.718911
-12.5229,0.909161,1.19463,2,3,0,13.4606,0.652834
-12.6569,0.939583,1.19463,2,3,0,12.8219,0.569234
-12.7117,0.722257,1.19463,2,3,0,13.8923,0.558748
-12.512,1,1.19463,1,3,0,12.6455,0.617566
-12.7135,0.917295,1.19463,2,3,0,12.8972,0.700902
-12.5288,1,1.19463,1,3,0,12.6555,0.655934
-12.5288,0.639614,1.19463,1,3,0,13.8655,0.655934
-12.5288,0.23181,1.19463,1,3,0,16.3846,0.655934
-12.5462,0.994431,1.19463,1,1,0,12.5518,0.663281
-12.7863,0.953222,1.19463,2,3,0,12.8765,0.546449
-14.3494,0.574245,1.19463,1,1,0,14.3615,0.412497
-15.6127,0.653499,1.19463,1,1,0,16.0945,0.350026
-13.5282,1,1.19463,1,1,0,15.0547,0.468079
-12.9216,1,1.19463,1,1,0,13.3984,0.527713
-12.9216,0.537932,1.19463,1,1,0,14.0842,0.527713
-13.4526,0.827674,1.19463,1,1,0,13.5443,0.474265
-12.6203,0.618409,1.19463,2,3,0,15.4311,0.577322
-12.9182,0.90055,1.19463,1,1,0,12.9335,0.528144
-12.8957,1,1.19463,1,1,0,13.044,0.531038
-13.1201,0.923225,1.19463,1,1,0,13.2299,0.505067
-12.7005,0.867352,1.19463,2,3,0,13.8961,0.69879
-12.5044,0.962708,1.19463,2,3,0,12.9302,0.634334
-12.5332,0.981989,1.19463,2,3,0,12.5846,0.604644
-12.5572,0.929107,1.19463,2,3,0,12.8056,0.595072
-12.5171,1,1.19463,1,1,0,12.5447,0.613622
-12.536,0.993584,1.19463,1,1,0,12.5384,0.60333
-12.8499,0.908155,1.19463,1,3,0,12.9733,0.719654
-12.567,1,1.19463,1,1,0,12.7639,0.670193
